,Byte_count,Request_count,Day,Hour,Minute
1,18786743.0,110327, 14/Jun/1998,7,34
2,39924476.0,116785, 14/Jun/1998,7,35
3,46798222.0,113619, 14/Jun/1998,7,36
4,46908869.0,114719, 14/Jun/1998,7,37
5,41664065.0,112109, 14/Jun/1998,7,38
6,44109073.0,114831, 14/Jun/1998,7,39
7,49740492.0,115615, 14/Jun/1998,7,40
8,42769886.0,116143, 14/Jun/1998,7,41
9,46736515.0,116276, 14/Jun/1998,7,42
10,39488118.0,115837, 14/Jun/1998,7,43
11,53242072.0,114175, 14/Jun/1998,7,44
12,49248702.0,112180, 14/Jun/1998,7,45
13,46543662.0,106766, 14/Jun/1998,7,46
14,48976470.0,97343, 14/Jun/1998,7,47
15,54592383.0,95348, 14/Jun/1998,7,48
16,48072523.0,96313, 14/Jun/1998,7,49
17,60755893.0,95649, 14/Jun/1998,7,50
18,44867253.0,94293, 14/Jun/1998,7,51
19,47809592.0,94157, 14/Jun/1998,7,52
20,46663379.0,94365, 14/Jun/1998,7,53
21,45399353.0,92378, 14/Jun/1998,7,54
22,48968886.0,92445, 14/Jun/1998,7,55
23,38812744.0,94702, 14/Jun/1998,7,56
24,44064637.0,97018, 14/Jun/1998,7,57
25,41992065.0,96532, 14/Jun/1998,7,58
26,45275462.0,94509, 14/Jun/1998,7,59
27,0.0,94281, 14/Jun/1998,7,0
28,0.0,92686, 14/Jun/1998,7,1
29,0.0,95153, 14/Jun/1998,7,2
30,0.0,99033, 14/Jun/1998,7,3
31,0.0,97634, 14/Jun/1998,7,4
32,0.0,96283, 14/Jun/1998,7,5
33,0.0,94957, 14/Jun/1998,7,6
34,0.0,94441, 14/Jun/1998,7,7
35,0.0,96160, 14/Jun/1998,7,8
36,0.0,93922, 14/Jun/1998,7,9
37,0.0,96262, 14/Jun/1998,7,10
38,0.0,98019, 14/Jun/1998,7,11
39,0.0,96775, 14/Jun/1998,7,12
40,0.0,96314, 14/Jun/1998,7,13
41,0.0,96908, 14/Jun/1998,7,14
