,Byte_count,Request_count,Day,Hour,Minute
1,17114481.0,25434, 03/Jul/1998,20,42
2,148902165.0,68187, 03/Jul/1998,20,43
3,151915583.0,67784, 03/Jul/1998,20,44
4,155523462.0,69192, 03/Jul/1998,20,45
5,160583802.0,69852, 03/Jul/1998,20,46
6,160602057.0,71040, 03/Jul/1998,20,47
7,168720308.0,74586, 03/Jul/1998,20,48
8,176345683.0,77241, 03/Jul/1998,20,49
9,186657273.0,81329, 03/Jul/1998,20,50
10,185877245.0,79059, 03/Jul/1998,20,51
11,187482992.0,78575, 03/Jul/1998,20,52
12,168197841.0,72250, 03/Jul/1998,20,53
13,163814636.0,70381, 03/Jul/1998,20,54
14,149537135.0,68581, 03/Jul/1998,20,55
15,145594352.0,66699, 03/Jul/1998,20,56
16,137030282.0,63061, 03/Jul/1998,20,57
17,130531397.0,62376, 03/Jul/1998,20,58
18,130389733.0,60833, 03/Jul/1998,20,59
19,0.0,45318, 03/Jul/1998,20,0
20,0.0,43412, 03/Jul/1998,20,1
21,0.0,43104, 03/Jul/1998,20,2
22,0.0,43462, 03/Jul/1998,20,3
23,0.0,42110, 03/Jul/1998,20,4
24,0.0,40101, 03/Jul/1998,20,5
25,0.0,38768, 03/Jul/1998,20,6
26,0.0,37065, 03/Jul/1998,20,7
27,0.0,36983, 03/Jul/1998,20,8
28,0.0,33868, 03/Jul/1998,20,9
29,0.0,28878, 03/Jul/1998,20,10
30,0.0,26673, 03/Jul/1998,20,11
31,0.0,25655, 03/Jul/1998,20,12
32,0.0,25098, 03/Jul/1998,20,13
33,0.0,24214, 03/Jul/1998,20,14
34,0.0,24181, 03/Jul/1998,20,15
35,0.0,23643, 03/Jul/1998,20,16
36,0.0,23833, 03/Jul/1998,20,17
37,0.0,22381, 03/Jul/1998,20,18
38,0.0,22368, 03/Jul/1998,20,19
39,0.0,22047, 03/Jul/1998,20,20
40,0.0,22017, 03/Jul/1998,20,21
41,0.0,21865, 03/Jul/1998,20,22
42,0.0,22163, 03/Jul/1998,20,23
43,0.0,20668, 03/Jul/1998,20,24
44,0.0,20291, 03/Jul/1998,20,25
45,0.0,20558, 03/Jul/1998,20,26
46,0.0,20748, 03/Jul/1998,20,27
47,0.0,20076, 03/Jul/1998,20,28
48,0.0,19713, 03/Jul/1998,20,29
49,0.0,18100, 03/Jul/1998,20,30
50,0.0,18069, 03/Jul/1998,20,31
51,0.0,18409, 03/Jul/1998,20,32
52,0.0,18197, 03/Jul/1998,20,33
53,0.0,18758, 03/Jul/1998,20,34
54,0.0,18240, 03/Jul/1998,20,35
55,0.0,18860, 03/Jul/1998,20,36
56,0.0,17710, 03/Jul/1998,20,37
57,0.0,17718, 03/Jul/1998,20,38
58,0.0,17986, 03/Jul/1998,20,39
59,0.0,17680, 03/Jul/1998,20,40
60,0.0,18898, 03/Jul/1998,20,41
61,69436622.0,25434, 03/Jul/1998,21,42
62,63538677.0,68187, 03/Jul/1998,21,43
63,56668754.0,67784, 03/Jul/1998,21,44
64,63851440.0,69192, 03/Jul/1998,21,45
65,68953709.0,69852, 03/Jul/1998,21,46
66,59154511.0,71040, 03/Jul/1998,21,47
67,65585975.0,74586, 03/Jul/1998,21,48
68,59793278.0,77241, 03/Jul/1998,21,49
69,60876176.0,81329, 03/Jul/1998,21,50
70,57519159.0,79059, 03/Jul/1998,21,51
71,59672331.0,78575, 03/Jul/1998,21,52
72,55459579.0,72250, 03/Jul/1998,21,53
73,62554485.0,70381, 03/Jul/1998,21,54
74,59545976.0,68581, 03/Jul/1998,21,55
75,64860389.0,66699, 03/Jul/1998,21,56
76,56189066.0,63061, 03/Jul/1998,21,57
77,57106813.0,62376, 03/Jul/1998,21,58
78,72036675.0,60833, 03/Jul/1998,21,59
79,122217471.0,45318, 03/Jul/1998,21,0
80,124155500.0,43412, 03/Jul/1998,21,1
81,130267699.0,43104, 03/Jul/1998,21,2
82,123794627.0,43462, 03/Jul/1998,21,3
83,123428933.0,42110, 03/Jul/1998,21,4
84,113954218.0,40101, 03/Jul/1998,21,5
85,116300962.0,38768, 03/Jul/1998,21,6
86,110589710.0,37065, 03/Jul/1998,21,7
87,108117751.0,36983, 03/Jul/1998,21,8
88,100717612.0,33868, 03/Jul/1998,21,9
89,93196166.0,28878, 03/Jul/1998,21,10
90,83516816.0,26673, 03/Jul/1998,21,11
91,90826875.0,25655, 03/Jul/1998,21,12
92,87036963.0,25098, 03/Jul/1998,21,13
93,83517010.0,24214, 03/Jul/1998,21,14
94,87085313.0,24181, 03/Jul/1998,21,15
95,75628458.0,23643, 03/Jul/1998,21,16
96,80746862.0,23833, 03/Jul/1998,21,17
97,81370654.0,22381, 03/Jul/1998,21,18
98,76961431.0,22368, 03/Jul/1998,21,19
99,80814479.0,22047, 03/Jul/1998,21,20
100,77009887.0,22017, 03/Jul/1998,21,21
101,79469829.0,21865, 03/Jul/1998,21,22
102,77329804.0,22163, 03/Jul/1998,21,23
103,76426822.0,20668, 03/Jul/1998,21,24
104,71487307.0,20291, 03/Jul/1998,21,25
105,80577791.0,20558, 03/Jul/1998,21,26
106,70801212.0,20748, 03/Jul/1998,21,27
107,72403962.0,20076, 03/Jul/1998,21,28
108,69921825.0,19713, 03/Jul/1998,21,29
109,71109330.0,18100, 03/Jul/1998,21,30
110,65167068.0,18069, 03/Jul/1998,21,31
111,65157066.0,18409, 03/Jul/1998,21,32
112,68420689.0,18197, 03/Jul/1998,21,33
113,62850669.0,18758, 03/Jul/1998,21,34
114,64821482.0,18240, 03/Jul/1998,21,35
115,70303731.0,18860, 03/Jul/1998,21,36
116,73681617.0,17710, 03/Jul/1998,21,37
117,64109186.0,17718, 03/Jul/1998,21,38
118,61116578.0,17986, 03/Jul/1998,21,39
119,65359609.0,17680, 03/Jul/1998,21,40
120,68861398.0,18898, 03/Jul/1998,21,41
121,0.0,25434, 03/Jul/1998,22,42
122,0.0,68187, 03/Jul/1998,22,43
123,0.0,67784, 03/Jul/1998,22,44
124,0.0,69192, 03/Jul/1998,22,45
125,0.0,69852, 03/Jul/1998,22,46
126,0.0,71040, 03/Jul/1998,22,47
127,0.0,74586, 03/Jul/1998,22,48
128,0.0,77241, 03/Jul/1998,22,49
129,0.0,81329, 03/Jul/1998,22,50
130,0.0,79059, 03/Jul/1998,22,51
131,0.0,78575, 03/Jul/1998,22,52
132,0.0,72250, 03/Jul/1998,22,53
133,0.0,70381, 03/Jul/1998,22,54
134,0.0,68581, 03/Jul/1998,22,55
135,0.0,66699, 03/Jul/1998,22,56
136,0.0,63061, 03/Jul/1998,22,57
137,0.0,62376, 03/Jul/1998,22,58
138,0.0,60833, 03/Jul/1998,22,59
139,215505.0,45318, 03/Jul/1998,22,0
140,0.0,43412, 03/Jul/1998,22,1
141,0.0,43104, 03/Jul/1998,22,2
142,0.0,43462, 03/Jul/1998,22,3
143,0.0,42110, 03/Jul/1998,22,4
144,0.0,40101, 03/Jul/1998,22,5
145,0.0,38768, 03/Jul/1998,22,6
146,0.0,37065, 03/Jul/1998,22,7
147,0.0,36983, 03/Jul/1998,22,8
148,0.0,33868, 03/Jul/1998,22,9
149,0.0,28878, 03/Jul/1998,22,10
150,0.0,26673, 03/Jul/1998,22,11
151,0.0,25655, 03/Jul/1998,22,12
152,0.0,25098, 03/Jul/1998,22,13
153,0.0,24214, 03/Jul/1998,22,14
154,0.0,24181, 03/Jul/1998,22,15
155,0.0,23643, 03/Jul/1998,22,16
156,0.0,23833, 03/Jul/1998,22,17
157,0.0,22381, 03/Jul/1998,22,18
158,0.0,22368, 03/Jul/1998,22,19
159,0.0,22047, 03/Jul/1998,22,20
160,0.0,22017, 03/Jul/1998,22,21
161,0.0,21865, 03/Jul/1998,22,22
162,0.0,22163, 03/Jul/1998,22,23
